listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
zS3inPAg0sRzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-3000-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Gandhinagar&id=4d423733313338333433,2026-04-19 13:51:41,,,,Yash Property Management,"shree rang pearl randesan,Gandhinagar",,,,Apartment,Unfurnished,1,10,East,3000,Sq-ft,New Construction,"newly fully furnished 2 and 3 flats available You can avail the 3 BHK flat for rent in the well-known location of sreerang pearl. You can get this flat at monthly rent of ₹45,000. The apartment is on the 1 floor, has a carpet area of 2700 sqft with 3 bathrooms and 3 balcony. The apartment is equipped with power back up, reserved parking, security, service/goods lift, intercom facility, ro water system.",45000,90000,0,15,3,,No,No,No,"Internet/Wi-Fi Connectivity, Bar/Lounge, Jogging and Strolling Track, Outdoor Tennis Courts",True,True,Agent,75,Immediately,2026-02-18T12:36:51.000Z,"Feb 18, '26",True
jLhsxZR9VjZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-325-Sq-yrd-Multistorey-Apartment-FOR-Rent-Raysan-in-Gandhinagar&id=4d423834323135303733,2026-04-19 13:51:41,23.16672,72.66059,,Raysan,raysan,19210|GNLU Metro Station,,,Apartment,Furnished,8,13,East,325,Sq-yrd,New Construction,"Near to gift city and pdpu metrostation You can explore this 3 BHK flat on rent in Raysan Gandhinagar. This 3 BHK flat is available at the reasonable rent amount of ₹49,000. Located on the 8 floor, the flat has 3 bathrooms, 3 balcony in carpet area of 195 sqyrd. This flat is fitted with power back up, reserved parking, security, intercom facility, ro water system. Visit the flat at raysan, Raysan, Gandhinagar, Gujarat.",49000,98000,2000,17,3,,No,No,No,"Internet/Wi-Fi Connectivity, Banquet Hall, Jogging and Strolling Track, Outdoor Tennis Courts",False,True,Agent,80,Immediately,2026-04-18T23:45:34.000Z,Today,True
4t5/UIYnyLFzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-300-Sq-yrd-Multistorey-Apartment-FOR-Rent-Raysan-in-Gandhinagar&id=4d423834323930383637,2026-04-19 13:51:41,23.16672,72.66059,,Raysan,"Gandhinagar, Gujarat",19210|GNLU Metro Station|5 minutes,,,Apartment,Furnished,3,13,,300,Sq-yrd,,"Find 3 BHK flat for rent in Raysan Gandhinagar. ₹53,000 is the monthly rent of this 3 BHK flat. This flat is located at Raysan, Ahmedabad, Gujarat. The brokerage amount of the 3 BHK apartment is zero.",53000,,,20,3,,No,No,No,,False,False,Owner,28,Select Date,2026-04-17T18:37:15.000Z,Yesterday,True
Rv2ddI+8ZMZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-255-Sq-yrd-Multistorey-Apartment-FOR-Rent-in-Gandhinagar&id=4d423831363932373639,2026-04-19 13:51:41,,,,Mangal Murti Property Solution,behind swagat holiday mall Sargasan,,,,Apartment,Furnished,6,12,North - East,255,Sq-yrd,New Construction,"this property is located near sg highway. this property is located behind swagat holiday mall Sargasan. this property is fully furnished. this property is for family and company guest house. 3 BHK flat is available for rent in akashat paradise immediately. The Rent amount of this 3 BHK apartment is set at an attractive price of ₹50,000. The apartment is on the 6 floor, has a carpet area of 145 sqyrd with 3 bathrooms and 3 balcony. This property offers power back up, reserved parking, security, air conditioned, ro water system.",50000,100000,2500,22,3,,No,No,No,"Air Conditioned, RO Water System, Banquet Hall",False,True,Agent,94,Immediately,2026-04-18T23:45:32.000Z,Today,True
1fpnq2jJFbBzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-267-Sq-ft-Multistorey-Apartment-FOR-Rent-Kudasan-in-Gandhinagar&id=4d423732343730333131,2026-04-19 13:51:41,23.1698784,72.6232479,,Kudasan,"Gandhinagar, Gujarat",,,,Apartment,Furnished,4,14,North - East,267,Sq-ft,New Construction,"If you are planning to rent a flat, you can consider this 3 BHK flat situated in the prime location of Kudasan. ₹50,000 is the monthly rent of this 3 BHK flat. The flat is located on the 4 floor which includes 3 bathrooms, 3 balcony, and covers a covered area of 267 sqft. There is also facility of 1 Covered parking. The property features reserved parking, security. The full address of the apartment is RADHE INFINITY RAKSHASHAKTI CIRCLE, Gandhinagar, Gandhinagar, Gujarat.",50000,100000,0,187,3,1 Covered,No,No,No,,False,True,Agent,88,Immediately,2026-04-16T23:45:21.000Z,"Apr 17, '26",True
1bEIupi/ML9zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-248-Sq-yrd-Multistorey-Apartment-FOR-Rent-Randesan-in-Gandhinagar&id=4d423833353137343037,2026-04-19 13:51:41,23.17588,72.65443,,Randesan,"randesan,Near Metro station",,,,Apartment,Furnished,5,14,East,248,Sq-yrd,New Construction,"This is club class living with full of amenities in Prime area of Gandhinagar Find 3 BHK flat for rent in Randesan Gandhinagar. The flat is available for rent at a competitive amount of ₹55,000. The flat is on the 5 floor and includes 3 bathrooms, 1 balcony with a carpet area of 145 sqyrd. The property includes 1 Covered parking. The building has 14 floor and offers Kids play area amenities. The apartment is equipped with power back up, reserved parking, security, service/goods lift, intercom facility, ro water system. Visit the flat at Siddhraj Zoey, Besides Maruti magnum, Nr.Axis Bank, Randesan, Gandhinagar.",55000,110000,0,25,3,1 Covered,No,No,No,"Internet/Wi-Fi Connectivity, Banquet Hall, Jogging and Strolling Track, Outdoor Tennis Courts",False,True,Agent,100,Immediately,2026-04-17T23:45:21.000Z,Yesterday,True
Sj0ODYxF/VhzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-2196-Sq-ft-Multistorey-Apartment-FOR-Rent-Kudasan-in-Gandhinagar&id=4d423833373131333035,2026-04-19 13:51:41,23.1698784,72.6232479,,Kudasan,keshav Aaradhyam,,,,Apartment,Furnished,3,8,East,2196,Sq-ft,Less than 5 years,"Check out this newly constructed 3 BHK flat on rent in the prime location of Kudasan Gandhinagar. The Rent amount of this 3 BHK apartment is set at an attractive price of ₹47,000. Located on the 3 floor, the flat has 3 bathrooms, 1 balcony in carpet area of 1350 sqft. The property includes 1 Covered parking. This property includes 8 floor and provides Kids play area benefits. The residence includes power back up, reserved parking, security, air conditioned. Find this apartment at Kudasan, Gandhinagar, Gujarat.",47000,100000,2500,21,3,1 Covered,No,No,No,"Air Conditioned, Banquet Hall, Outdoor Tennis Courts",False,True,Agent,100,Immediately,2026-04-17T23:45:21.000Z,Yesterday,True
3GuzHUVZvixzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Rent-Raysan-in-Gandhinagar&id=4d423833393332343933,2026-04-19 13:51:41,23.16672,72.66059,,Raysan,"Gandhinagar, Gujarat",19210|GNLU Metro Station,,,Apartment,Furnished,7,11,,1500,Sq-ft,,"Find 3 BHK flat for rent in Raysan Gandhinagar. The rent of the 3 BHK flat is ₹46,000. Visit the apartment at Raysan, Gandhinagar, Gujarat. This is a no-brokerage flat because the owner has posted the ad on this 3 BHK apartment.",46000,,,31,3,,No,No,No,,False,False,Owner,0,Immediately,2026-03-25T07:17:44.000Z,"Mar 25, '26",True
vtMhcUOsM6ZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-2376-Sq-ft-Multistorey-Apartment-FOR-Rent-Kudasan-in-Gandhinagar&id=4d423833363235303533,2026-04-19 13:51:41,23.1698784,72.6232479,,Kudasan,"Gandhinagar, Gujarat",,,,Apartment,Furnished,14,14,,2376,Sq-ft,,"Multistorey apartment is available for rent. It is a good location property. Please contact for more details. You can avail the 3 BHK flat for rent in the well-known location of Kudasan. The Rent amount of this 3 BHK apartment is set at an attractive price of ₹54,000. Visit the flat at RADHE INFINITY RAKSHASHAKTI CIRCLE, Gandhinagar, Gandhinagar, Gujarat. Do not pay any brokerage fee for this 3 BHK rental flat since the property ad is posted by the flat owner.",54000,,,23,3,,No,No,No,,False,False,Owner,33,Select Date,2026-03-03T08:04:00.000Z,"Mar 03, '26",True
SjiEjRQ2SRRzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-2646-Sq-ft-Multistorey-Apartment-FOR-Rent-Randesan-in-Gandhinagar&id=4d423834323033343333,2026-04-19 13:51:41,23.17588,72.65443,,Randesan,"The Gate By Dev Aashish, Royal Street, Near Gujarat National Law University, PDPU Road, Gandhinagar",,,,Apartment,Furnished,5,13,East,2646,Sq-ft,New Construction,"Located near Padpu Road, this impressive gated scheme offers spacious 3 and 4 BHK homes with modern design and premium amenities. The grand entrance gate ensures security and elegance, welcoming residents into a wellplanned community that combines comfort, convenience, greenery, and a refined lifestyle in a peaceful residential setting.",55000,110000,0,21,3,1 Covered,Yes,No,No,Jogging and Strolling Track,False,True,Agent,100,Immediately,2026-04-12T05:17:54.000Z,"Apr 12, '26",True
QULd3P6rCchzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-236-Sq-yrd-Multistorey-Apartment-FOR-Rent-Kudasan-in-Gandhinagar&id=4d423732363235323035,2026-04-19 13:51:41,23.1698784,72.6232479,,Kudasan,"Kudasan,Gandhinagar",,,,Apartment,Furnished,4,7,East,236,Sq-yrd,New Construction,"If you are planning to rent a flat, you can consider this 3 BHK flat situated in the prime location of Kudasan. The rent of the 3 BHK flat is ₹41,000. Additional amenities available with the flat are 3 Wardrobe, 3 Bed, Fridge, 4 AC, Sofa, Washing Machine, Dining Table and Gas Connection. Located on the 4 floor, the flat comprises 3 bathrooms, 1 balcony, and has a carpet area of 141 sqyrd. There is also facility of 1 Covered parking. This home provides power back up, reserved parking, security. Visit the flat at Kudasan, Gandhinagar, Gujarat .",41000,82000,3000,19,3,1 Covered,No,No,No,,False,True,Agent,100,Immediately,2026-04-17T23:45:19.000Z,Yesterday,True
zpgMsq8165NzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-2646-Sq-ft-Multistorey-Apartment-FOR-Rent-Raysan-in-Gandhinagar&id=4d423834313935323439,2026-04-19 13:51:41,23.16672,72.66059,,Raysan,"The Gate By Dev Aashish, Royal Street, Near Gujarat National Law University, PDPU Road, Gandhinagar",19210|GNLU Metro Station|5 minutes,,,Apartment,Furnished,7,13,East,2646,Sq-ft,New Construction,"3 BHK flat is available for rent in Raysan immediately. The flat is available for rent at a competitive amount of ₹60,000. Some premium add-on facilities bundled with the flat are 3 Wardrobe, 3 Bed, 1 TV, Fridge, 3 AC, Sofa, Washing Machine, Dining Table and Gas Connection. The apartment is on the 7 floor, has a carpet area of 180 sqyrd with 3 bathrooms and 1 balcony. You will also find 1 Covered parking facility. The building includes 13 floor and supports Kids play area living. The apartment comes furnished with power back up, reserved parking, security. The address is The Gate By Dev Aashish, Royal Street, Near Gujarat National Law University, PDPU Road, Gandhinagar.",60000,120000,3000,23,3,1 Covered,Yes,No,No,Jogging and Strolling Track,False,True,Agent,100,Immediately,2026-04-11T08:42:58.000Z,"Apr 11, '26",True
G/FKd+hqTrxzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-4500-Sq-ft-Multistorey-Apartment-FOR-Rent-Kudasan-in-Gandhinagar&id=4d423831343931353931,2026-04-19 13:51:41,23.1698784,72.6232479,,Kudasan,"Gandhinagar, Gujarat",,,,Apartment,Furnished,3,3,South -West,4500,Sq-ft,5 to 10 years,"If you are planning to rent a flat, you can consider this 3 BHK flat situated in the prime location of Kudasan. The multistorey apartment is available at rent of ₹65,000. Located on the 3 floor, the flat comprises 2 bathrooms, 2 balcony, and has a carpet area of 3506 sqft. The apartment is equipped with reserved parking, security, air conditioned. Visit the flat at Shubh Candid, Urjanagar 1, Kudasan, Gandhinagar, Gujarat .",65000,,,14,2,,Yes,No,No,"Air Conditioned, Bar/Lounge, Conference Room",True,True,Agent,48,Immediately,2026-03-18T05:29:21.000Z,"Mar 18, '26",True
