listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
VzkRn9lRpDRzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/4-BHK-4500-Sq-ft-Multistorey-Apartment-FOR-Rent-Piplod-in-Surat&id=4d423732313730303631,2026-04-19 13:52:36,21.1610353,72.7762099,,Piplod,"KPM Terra Prime, Vesu, Big Bazzar Lane, opp. Bhartimaiya School, Piplod, Surat, Gujarat","19201|Gidc Icchapore, 19201|Software Technology Parks Of India (Stpi), 19202|Jh Ambani High School, 19202|Radiant English Academy, 19206|Vr Surat, 19206|Rahulraj Mall",,,Apartment,Unfurnished,5,12,North,4500,Sq-ft,New Construction,"Vardan KPM Terra prime Piplod has 6 towers, with 13 floors each and 165 units on offer. Spread over an area of 4.75 acres, Vardan KPM Terra prime is one of the spacious housing societies in the Surat region. With all the basic amenities available, Vardan KPM Terra prime fits into your budget and your lifestyle.",75000,180000,4500,17,4,1 Covered,Yes,No,Yes,Jogging and Strolling Track,False,True,Agent,95,Immediately,2026-03-17T06:33:16.000Z,"Mar 17, '26",True
FynODR7ETvRzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Surat&id=4d423739313436393035,2026-04-19 13:52:36,,,,Dharmesh manharlal Desai,opp st Xaviers school near Adarsh society ghoddod road,,,,Apartment,Unfurnished,1,3,,,,Above 20 years,"Grab the chance to own this affordable 3 BHK flat for rent in the Panchvati apartment 2 area. The rent of the 3 BHK flat is ₹23,000. The flat is located on the 1 floor which includes 2 bathrooms, 2 balcony, and covers a carpet area of 1200 sqft. This 3 BHK rental flat comes with no brokerage fees.",23000,75000,800,,2,,No,No,No,,False,False,Owner,36,Immediately,2026-04-07T21:32:04.000Z,"Apr 08, '26",True
1XN+v6ola6BzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-1658-Sq-ft-Multistorey-Apartment-FOR-Rent-Pal-in-Surat&id=4d423833393837303735,2026-04-19 13:52:36,21.1807801,72.7529018,,Pal,"Green City , Pal, Adajan, Surat","19202|International Institute Of Management And Technical Studies (Iimt), 19202|Seven Steps School, 19206|Bellissimo Hub, 19206|Pal. Star World",,,Apartment,Semi-Furnished,6,15,West,1658,Sq-ft,10 to 15 years,"Best Society on Main Road of Gaurav Path Find this 3 BHK rental flat in Pal Surat. This 3 BHK flat can be availed at the rental price of ₹25,000. The flat is on the 6 floor and includes 3 bathrooms, 1 balcony with a carpet area of 1160 sqft. The apartment comes furnished with power back up, reserved parking, security, service/goods lift, intercom facility. Visit the flat at PAL, Surat Gujrat. The brokerage amount of the 3 BHK apartment is zero.",25000,,,15,3,,Yes,No,No,"Service/Goods Lift, Laundry Service, Banquet Hall, Jogging and Strolling Track",False,False,Owner,56,Immediately,2026-03-29T11:50:51.000Z,"Mar 29, '26",True
Pqp+UG+QX2pzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Surat&id=4d423834323930383037,2026-04-19 13:52:36,,,,dinesh laxmanbhai,"Surat, Gujarat",,,,Apartment,Semi-Furnished,2,10,,1600,Sq-ft,,"Find this 3 BHK rental flat in City centre residency Surat. The flat is available for rent at a competitive amount of ₹20,000. This 3 BHK apartment ad is listed by the owner, so there is no brokerage fee.",20000,,,12,3,,No,No,No,,False,False,Owner,28,Select Date,2026-04-17T18:21:20.000Z,"Apr 17, '26",True
oS2yEGDsEUtzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-1050-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Surat&id=4d423638353631323231,2026-04-19 13:52:36,,,,hardiq patel,"C Building Ground 002, Mindhola Building, Veer Savarkar Heights, Ugat Bheshan Road, Jahangirabad, Morabhagal, Surat",,,,Apartment,Semi-Furnished,Ground,13,East,1050,Sq-ft,Less than 5 years,"You can avail the 3 BHK flat for rent in the well-known location of VEER SAVARKAR HEIGHTS. The Rent amount of this 3 BHK apartment is set at an attractive price of ₹10,000. Located on the Ground floor, the flat comprises 2 bathrooms, 1 balcony, and has a carpet area of 750 sqft. The property includes 1 Covered, 1 Open parking. This flat is fitted with power back up, security. This is a no-brokerage flat because the owner has posted the ad on this 3 BHK apartment.",10000,35000,1000,10,2,"1 Covered, 1 Open",No,No,No,,False,False,Owner,53,Immediately,2026-04-10T04:52:59.000Z,"Apr 10, '26",True
qvYa7G9koMhzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-1851-Sq-ft-Multistorey-Apartment-FOR-Rent-Althan-in-Surat&id=4d423832353233323931,2026-04-19 13:52:36,21.1493019,72.8053877,,Althan,"Althan,Surat","19201|Software Technology Parks Of India (Stpi) Surat, 19202|I.G. Desai School, 19202|Broadway International School",,,Apartment,Semi-Furnished,8,13,East,1851,Sq-ft,10 to 15 years,"A spacious 3 bhk flat for rent is available in althan in sentosa height, surat. This 3 bhk flat comes with 3 bathrooms set in 1850 sq.Ft. Super builtUp usable area. This property is constructed on 1850 sq.Ft. Extra space for pooja room and store room. You also get 1 covered parking inside the premises located on 8th of 13 floor. We are offering this property on 25,000 monthly.",25000,75000,2,14,3,"1 Covered, 1 Open",Yes,Yes,No,Jogging and Strolling Track,False,True,Agent,100,Immediately,2026-04-18T23:45:33.000Z,Today,True
ZNuClV0dszxzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-1715-Sq-ft-Multistorey-Apartment-FOR-Rent-Bhimrad-in-Surat&id=4d423738373530343631,2026-04-19 13:52:36,21.129281,72.800067,,Stonewall Properties,"bhimrad, beside smc party plot",,,,Apartment,Unfurnished,9,13,East,1715,Sq-ft,New Construction,"Luxurious Amenities Available In Campus, 2AC, Geyser, Chimney, Water Purifier available in flat Grab the chance to own this affordable 3 BHK flat for rent in the Bhimrad area. This 3 BHK flat can be availed at the rental price of ₹25,000. The flat is located on the 9 floor which includes 3 bathrooms, 4 balcony, and covers a covered area of 1715 sqft. This unit features power back up, reserved parking, security, air conditioned, intercom facility, ro water system.",25000,75000,,15,3,,No,No,No,"Air Conditioned, Banquet Hall, Jogging and Strolling Track, Outdoor Tennis Courts",True,True,Agent,58,Immediately,2026-04-16T23:45:21.000Z,"Apr 17, '26",True
PhukJOaioTtzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-1586-Sq-ft-Multistorey-Apartment-FOR-Rent-Palanpur-in-Surat&id=4d423830343236383135,2026-04-19 13:52:36,21.215963,72.770389,,Bhumi Property Consultant,"Palanpur,Surat",,,,Apartment,Unfurnished,1,13,North - East,1586,Sq-ft,New Construction,"gauravpath road pal3 bhknaked You can explore this 3 BHK flat on rent in Palanpur Surat. This 3 BHK flat can be availed at the rental price of ₹24,000. Located on the 1 floor, the flat has 3 bathrooms, 1 balcony in carpet area of 900 sqft. The property includes 1 Covered parking. The residence includes power back up, reserved parking, security. Visit the flat at Palanpur,Surat, Palanpur, Surat, Gujarat.",24000,72000,0,15,3,1 Covered,No,No,No,,False,True,Agent,95,Immediately,2026-04-18T23:45:31.000Z,Today,True
aPUYOQe+KwxzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Rent-Adajan-in-Surat&id=4d423832393331393437,2026-04-19 13:52:36,21.1973663,72.782489,,Adajan,Nr TGB Circle,"19202|International Institute Of Management And Technical Studies (Iimt), 19202|L.P. Savani International School, 19206|Regent Mall, 19206|Imperial Square Mall",,,Apartment,Semi-Furnished,3,8,East,1500,Sq-ft,10 to 15 years,"Check out this newly constructed 3 BHK flat on rent in the prime location of Adajan Surat. The Rent amount of this 3 BHK apartment is set at an attractive price of ₹21,000. The flat comes with some add-on facilities such as Gas Connection. Located on the 3 floor, the flat comprises 3 bathrooms, 2 balcony, and has a carpet area of 900 sqft. There is also facility of 1 Covered, 1 Open parking. The residence includes power back up, reserved parking, security. The address is Nr TGB Circle, Adajan, Surat, Gujarat.",21000,63000,500,14,3,"1 Covered, 1 Open",No,No,No,,False,True,Agent,100,Immediately,2026-04-18T23:45:33.000Z,Today,True
ECQ8kCbzQrhzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/3-BHK-2150-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Surat&id=4d423832323234323839,2026-04-19 13:52:36,,,,1 Clik Property,"Surat, Gujarat",,,,Apartment,Unfurnished,5,12,East,2150,Sq-ft,Less than 5 years,"Check out this newly constructed 3 BHK flat on rent in the prime location of althann Surat. The rent of the 3 BHK flat is ₹24,000. Located on the 5 floor, the flat has 3 bathrooms, 2 balcony in covered area of 2150 sqft. This home provides power back up, reserved parking, security, intercom facility.",24000,72000,0,11,3,,No,No,No,"Laundry Service, Internet/Wi-Fi Connectivity, Banquet Hall, Jogging and Strolling Track",True,True,Agent,53,Immediately,2026-04-17T23:45:19.000Z,Yesterday,True
