city,category,name,lat,lon
bangalore,metro_stations,Doddakallasandra,12.8846435,77.5527546
bangalore,metro_stations,Konanakunte Cross,12.8889671,77.5626665
bangalore,metro_stations,Biocon Hebbagodi,12.8290325,77.6813744
bangalore,metro_stations,Maranayakanahalli,12.7186094,77.7639797
bangalore,metro_stations,Nagasandra,13.0479536,77.5001422
bangalore,metro_stations,Yeshwantpur,13.0232678,77.5498751
bangalore,metro_stations,Kadugodi Tree Park,12.9856503,77.7470121
bangalore,metro_stations,Sir M Visvesvaraya Terminal,12.999655,77.6411538
bangalore,metro_stations,Krishnarajapuram,13.0005461,77.6754561
bangalore,metro_stations,Krishnadevaraya Halt,12.957586806406626,77.53870694395064
bangalore,metro_stations,Hejjala Railway Station,12.84832715116507,77.41829003007811
bangalore,metro_stations,Goraguntepalya,13.0283813731389,77.54084925178981
bangalore,gyms,Body & Soul Gym,13.0198322,77.6409454
bangalore,gyms,Mega Gym,12.9140842,77.6130655
bangalore,gyms,Fitness One,12.965378,77.6379902
bangalore,gyms,Gold's Gym,13.0239856,77.6431902
bangalore,gyms,Snapfitness Gym,13.0058027,77.5806656
bangalore,gyms,Gold's Gym,12.9064098,77.596723
bangalore,gyms,Gold's Gym,12.9923206,77.5384859
bangalore,gyms,cult.fit,12.9231513,77.6697399
bangalore,gyms,nan,12.977381,77.6412653
bangalore,gyms,Snap Fitness,13.0981341,77.5846992
bangalore,gyms,Bend Body Studio,12.9654233,77.6418908
bangalore,gyms,Chisel,12.9668201,77.6091407
bangalore,gyms,Gold's Gym,12.970096,77.640898
bangalore,gyms,SLAM Lifestyle And Fitness Studio,12.9705327,77.6434604
bangalore,gyms,Body Vignyan,12.9060223,77.5853926
bangalore,gyms,Fitness studio,12.9702633,77.6390562
bangalore,gyms,Snap Fitness,12.9992349,77.5495341
bangalore,gyms,Life Care,13.0253304,77.6037215
bangalore,gyms,ಕ್ರಾಸ್‌ಫಿಟ್ ಜಿನೋಮ್,12.9948565,77.6152319
bangalore,gyms,Gym,12.9481798,77.7080129
bangalore,gyms,Rohan Jharoka Gym,12.9467794,77.67533
bangalore,gyms,Gym Way,12.8830421,77.569638
bangalore,gyms,Power House Gym,12.9481132,77.6796172
bangalore,gyms,VS Fitness and Dance Studio,12.9478525,77.6805642
bangalore,gyms,Talwalkars,12.9925827,77.5372971
bangalore,gyms,Snap Fitness,13.063594,77.5895541
bangalore,gyms,Gold's Gym,12.9665378,77.6037676
bangalore,gyms,Talwalkars,13.0043391,77.583804
bangalore,gyms,Gold's Gym,12.9721912,77.7506113
bangalore,gyms,Posh Fitness,12.9322428,77.6321637
bangalore,gyms,Klub Fit,12.9610235,77.7167541
bangalore,gyms,Body Image Fitness Center,12.9401558,77.5478441
bangalore,gyms,Impact Fitness Studio,12.9714764,77.6389942
bangalore,gyms,Gold's Gym,12.9064639,77.5967451
bangalore,gyms,Apple Fitness,12.9121818,77.6487761
bangalore,gyms,Talwalkars,12.9245655,77.5882464
bangalore,gyms,Gold's Gym,12.915438,77.6515839
bangalore,gyms,Snap Fitness,12.9243812,77.5644144
bangalore,gyms,Shapes Gym,12.9498917,77.7005393
bangalore,gyms,Gold Gym,13.0056199,77.568864
bangalore,gyms,Ambience Gym,12.9075342,77.546873
bangalore,gyms,Shri Rajeev Gandhi Gym,13.0002512,77.6190506
bangalore,gyms,Yoga Hall,12.975626,77.5703293
bangalore,gyms,Snap Fitness,12.9119481,77.6825558
bangalore,gyms,Vibes,12.9318997,77.6229415
bangalore,gyms,Pure Life Gym,12.9614843,77.5940764
bangalore,gyms,Mara fitness international,12.9496879,77.5931127
bangalore,gyms,Fitness World,13.0118637,77.6474039
bangalore,gyms,Pyro Fitness Center,12.9878222,77.6185314
bangalore,gyms,Mara fitness,12.9500152,77.5929905
bangalore,gyms,Venus Fitness,12.9073289,77.6108913
bangalore,gyms,Zion Fitness,12.9664558,77.6137032
bangalore,gyms,Fitness World,12.9967704,77.573453
bangalore,gyms,Snap fitness GYM,12.9117442,77.6440855
bangalore,gyms,Raghavas Fitness,12.9388844,77.5486641
bangalore,gyms,Versatile Fitness,12.939166,77.5520041
bangalore,gyms,I-BLITZ,12.9378559,77.6990187
bangalore,gyms,Play On Fitness,12.9137354,77.6063863
bangalore,gyms,The Grand Platinum Fitness,12.9124714,77.606448
bangalore,gyms,Sutvacha Skin and Laser Clinic,12.970386,77.6378968
bangalore,gyms,cult.fit,12.9684831,77.7493378
bangalore,gyms,Snap Fitness,12.9398518,77.6257018
bangalore,gyms,nan,12.9667676,77.7116241
bangalore,gyms,RS Power Fitness,12.8479607,77.6500799
bangalore,gyms,Power Fitness,12.8479772,77.6500721
bangalore,gyms,Yogakshema,12.9754217,77.6363694
bangalore,gyms,PESU Sports Center,12.9341922,77.5342788
bangalore,gyms,Signature Fitness,12.9687069,77.7495436
bangalore,gyms,BurnOut Fitness,12.9496783,77.7155698
bangalore,gyms,cult.fit,13.0084764,77.549127
bangalore,gyms,Santhosh Gym,12.9683462,77.5270066
bangalore,gyms,Onyx Gym,12.9721688,77.6806504
bangalore,gyms,Super Gym,12.9726301,77.6791685
bangalore,gyms,nan,12.9730249,77.5641833
bangalore,gyms,Strut Fitness,12.9740805,77.6787512
bangalore,gyms,nan,13.0689771,77.4509567
bangalore,gyms,cult.fit,12.9974439,77.6144452
bangalore,gyms,Eon Fitness,13.0228696,77.5848321
bangalore,gyms,FlexSpot Doddakannelli,12.9227079,77.6954745
bangalore,gyms,Bodysculpt Gym,13.0038587,77.5496592
bangalore,gyms,Step In Fitness,12.8962459,77.5963547
bangalore,gyms,nan,13.0326731,77.6715575
bangalore,gyms,nan,12.9667228,77.7116352
bangalore,gyms,cult.fit,12.9880918,77.7300955
bangalore,gyms,Academy of Strength,12.9720162,77.6409055
bangalore,gyms,cult.fit,12.9157629,77.6103253
bangalore,gyms,cult.fit,12.987796,77.537777
bangalore,gyms,cult.fit,12.9820909,77.6927764
bangalore,gyms,Day & Day Gym,12.9606981,77.7012155
bangalore,gyms,Burnout Fitness,12.9596388,77.7209646
bangalore,gyms,Vera Fitness,12.9589685,77.7175748
bangalore,gyms,cult.fit,12.9636557,77.6418494
bangalore,gyms,cult.fit,13.0058605,77.5691193
bangalore,gyms,LMNT Gym,12.9938628,77.7007212
bangalore,gyms,Vera Yoga,12.9598498,77.7173096
bangalore,gyms,cult.fit,12.9115492,77.6418354
bangalore,gyms,Iconic Gym,12.9318955,77.6333311
bangalore,gyms,Tusker Fitness,12.9840494,77.5578305
